Habilidad_base,Habilidad_proceso_intermedio,Variación_semántica_habilidad,N_cluster,Habilidad_representativa_cluster
realizar trabajos técnicos difíciles,trabajos técnicos difíciles,Realizar trabajos técnicos difíciles,5,Ejecutar tareas técnicas de alto riesgo
trabajar equipo entornos peligrosos,trabajar equipo entornos peligrosos,Trabajar equipo entornos peligrosos,6,Evaluar y gestionar riesgos en entornos laborales peligrosos
detectar peligros lugar trabajo,detectar peligros lugar trabajo,Detectar peligros lugar trabajo,6,Evaluar y gestionar riesgos en entornos laborales peligrosos
artículos hogar,aplicar articulos de hogar,Aplicar articulos de hogar,7,Comercializar artículos de hogar
vender artículos hogar,vender artículos hogar,Vender artículos hogar,7,Comercializar artículos de hogar
productos maquinaria,operar productos de maquinaria,Operar productos de maquinaria,8,Operar maquinaria y equipos de manipulación de materiales
operar equipo manipulación materiales,operar equipo manipulación materiales,Operar equipo manipulación materiales,8,Operar maquinaria y equipos de manipulación de materiales
ejecutar actividades control enfermedades plagas,ejecutar actividades control enfermedades plagas,Ejecutar actividades control enfermedades plagas,9,Supervisar y ejecutar control de plagas y enfermedades
supervisar control plagas enfermedades,supervisar control plagas enfermedades,Supervisar control plagas enfermedades,9,Supervisar y ejecutar control de plagas y enfermedades
utilizar aparatos comunicación,utilizar aparatos demostrar habilidades de comunicación,Utilizar aparatos demostrar habilidades de comunicación,10,Manejar equipos y software de comunicación
emplear equipo comunicación,emplear equipo demostrar habilidades de comunicación,Emplear equipo demostrar habilidades de comunicación,10,Manejar equipos y software de comunicación
mantener equipo comunicación radio,mantener equipo demostrar habilidades de comunicación radio,Mantener equipo demostrar habilidades de comunicación radio,10,Manejar equipos y software de comunicación
utilizar software medios comunicación,utilizar software medios demostrar habilidades de comunicación,Utilizar software medios demostrar habilidades de comunicación,10,Manejar equipos y software de comunicación
gestionar creación material promocional,gestionar creación material promocional,Gestionar creación material promocional,11,Gestionar producción y distribución de material promocional
gestionar reparto material publicitario,gestionar reparto material publicitario,Gestionar reparto material publicitario,11,Gestionar producción y distribución de material promocional
gestionar distribución materiales promocionales destinos turísticos,gestionar distribución materiales promocionales destinos turísticos,Gestionar distribución materiales promocionales destinos turísticos,11,Gestionar producción y distribución de material promocional
gestionar producción distribución materiales promocionales destino,gestionar producción distribución materiales promocionales destino,Gestionar producción distribución materiales promocionales destino,11,Gestionar producción y distribución de material promocional
filtrar líquidos,filtrar líquidos,Filtrar líquidos,12,Realizar procesos de filtración en bebidas
filtrar vino,filtrar vino,Filtrar vino,12,Realizar procesos de filtración en bebidas
usar equipos jardinería,usar equipos jardinería,Usar equipos jardinería,13,Manejar equipos de jardinería y paisajismo
utilizar equipos servicios paisajismo,utilizar equipos servicios paisajismo,Utilizar equipos servicios paisajismo,13,Manejar equipos de jardinería y paisajismo
gestionar impacto ambiental,gestionar impacto ambiental,Gestionar impacto ambiental,14,Evaluar y gestionar el impacto ambiental
gestionar impacto medioambiental operaciones,gestionar impacto medioambiental operaciones,Gestionar impacto medioambiental operaciones,14,Evaluar y gestionar el impacto ambiental
evaluar impacto ambiental,evaluar impacto ambiental,Evaluar impacto ambiental,14,Evaluar y gestionar el impacto ambiental
aplicar intervenciones terapia artística,aplicar intervenciones terapia artística,Aplicar intervenciones terapia artística,15,Implementar terapia artística
emplear arte ámbito terapéutico,emplear arte ámbito terapéutico,Emplear arte ámbito terapéutico,15,Implementar terapia artística
preparar plan tratamiento terapia artística,preparar plan tratamiento terapia artística,Preparar plan tratamiento terapia artística,15,Implementar terapia artística
facilitar documentación,facilitar documentación,Facilitar documentación,16,Proporcionar documentación necesaria
facilitar documentos necesarios,facilitar documentos necesarios,Facilitar documentos necesarios,16,Proporcionar documentación necesaria
proporcionar documentación usuario,proporcionar documentación usuario,Proporcionar documentación usuario,16,Proporcionar documentación necesaria
fomentar cumplimiento normas salud seguridad dando ejemplo,fomentar cumplimiento entender las normas internacionales relativas a las transacciones comerciales salud seguridad dando ejemplo,Fomentar cumplimiento entender las normas internacionales relativas a las transacciones comerciales salud seguridad dando ejemplo,17,Garantizar cumplimiento de normas internacionales en transacciones comerciales
garantizar cumplimiento normas ambientales fabricación alimentos,garantizar cumplimiento entender las normas internacionales relativas a las transacciones comerciales ambientales fabricación alimentos,Garantizar cumplimiento entender las normas internacionales relativas a las transacciones comerciales ambientales fabricación alimentos,17,Garantizar cumplimiento de normas internacionales en transacciones comerciales
garantizar cumplimiento normas salud seguridad higiene,garantizar cumplimiento entender las normas internacionales relativas a las transacciones comerciales salud seguridad higiene,Garantizar cumplimiento entender las normas internacionales relativas a las transacciones comerciales salud seguridad higiene,17,Garantizar cumplimiento de normas internacionales en transacciones comerciales
garantizar cumplimiento normas seguridad jaulas,garantizar cumplimiento entender las normas internacionales relativas a las transacciones comerciales seguridad jaulas,Garantizar cumplimiento entender las normas internacionales relativas a las transacciones comerciales seguridad jaulas,17,Garantizar cumplimiento de normas internacionales en transacciones comerciales
garantizar cumplimiento normas seguridad relativas enfermedades infecciosas,garantizar cumplimiento entender las normas internacionales relativas a las transacciones comerciales seguridad relativas enfermedades infecciosas,Garantizar cumplimiento entender las normas internacionales relativas a las transacciones comerciales seguridad relativas enfermedades infecciosas,17,Garantizar cumplimiento de normas internacionales en transacciones comerciales
garantizar cumplimiento normas protección radiaciones,garantizar cumplimiento entender las normas internacionales relativas a las transacciones comerciales protección radiaciones,Garantizar cumplimiento entender las normas internacionales relativas a las transacciones comerciales protección radiaciones,17,Garantizar cumplimiento de normas internacionales en transacciones comerciales
inspeccionar cumplimiento normas residuos peligrosos,inspeccionar cumplimiento entender las normas internacionales relativas a las transacciones comerciales residuos peligrosos,Inspeccionar cumplimiento entender las normas internacionales relativas a las transacciones comerciales residuos peligrosos,17,Garantizar cumplimiento de normas internacionales en transacciones comerciales
supervisar limpieza equipos,supervisar limpieza equipos,Supervisar limpieza equipos,18,Supervisar y gestionar operaciones de limpieza
supervisar operaciones máquinas limpieza,supervisar operaciones máquinas limpieza,Supervisar operaciones máquinas limpieza,18,Supervisar y gestionar operaciones de limpieza
gestionar actividades limpieza,gestionar actividades limpieza,Gestionar actividades limpieza,18,Supervisar y gestionar operaciones de limpieza
supervisar actividades limpieza,supervisar actividades limpieza,Supervisar actividades limpieza,18,Supervisar y gestionar operaciones de limpieza
asesorar gestión personal,asesorar gestión personal,Asesorar gestión personal,19,Orientar en la gestión de personal
neumología,demostrar conocimientos sobre neumología,Demostrar conocimientos sobre neumología,20,Aplicar conocimientos en diversas áreas médicas
biomedicina,demostrar conocimientos en biomedicina,Demostrar conocimientos en biomedicina,20,Aplicar conocimientos en diversas áreas médicas
cardiología,demostrar conocimientos en cardiología,Demostrar conocimientos en cardiología,20,Aplicar conocimientos en diversas áreas médicas
obesidad,demostrar conocimientos en materia de obesidad,Demostrar conocimientos en materia de obesidad,20,Aplicar conocimientos en diversas áreas médicas
endocrinología,demostrar conocimientos sobre endocrinología,Demostrar conocimientos sobre endocrinología,20,Aplicar conocimientos en diversas áreas médicas
inspeccionar tendidos eléctricos aéreos,inspeccionar tendidos eléctricos aéreos,Inspeccionar tendidos eléctricos aéreos,21,Inspeccionar y reparar líneas de transmisión eléctrica
inspeccionar cables,inspeccionar cables,Inspeccionar cables,21,Inspeccionar y reparar líneas de transmisión eléctrica
inspeccionar líneas transmisión subterráneas,inspeccionar líneas transmisión subterráneas,Inspeccionar líneas transmisión subterráneas,21,Inspeccionar y reparar líneas de transmisión eléctrica
reparar líneas transmisión eléctrica subterráneas,reparar líneas transmisión eléctrica subterráneas,Reparar líneas transmisión eléctrica subterráneas,21,Inspeccionar y reparar líneas de transmisión eléctrica
identificar comportamientos paciente,identificar comportamientos paciente,Identificar comportamientos paciente,22,Diagnóstico de comportamientos y trastornos conductuales
trastornos conductuales,identificar trastornos conductuales,Identificar trastornos conductuales,22,Diagnóstico de comportamientos y trastornos conductuales
análisis financiero,realizar análisis financiero,Realizar análisis financiero,23,Analizar información financiera y de inversión
análisis inversión,realizar análisis de inversión,Realizar análisis de inversión,23,Analizar información financiera y de inversión
bolsa valores,analizar la bolsa de valores,Analizar la bolsa de valores,23,Analizar información financiera y de inversión
modelo híbrido,modelo híbrido,Aplicar modelo híbrido,24,Aplicar técnicas de modelado de datos
modelos datos,aplciar modelos de datos,Aplciar modelos de datos,24,Aplicar técnicas de modelado de datos
modelado información,aplicar modelado de información,Aplicar modelado de información,24,Aplicar técnicas de modelado de datos
alimentación ganado,alimentación comprender el proceso de ganado,Alimentación comprender el proceso de ganado,25,Gestionar y comprender el proceso de producción de ganado
alimentar ganado,alimentar comprender el proceso de ganado,Alimentar comprender el proceso de ganado,25,Gestionar y comprender el proceso de producción de ganado
investigar producción ganado,investigar producción comprender el proceso de ganado,Investigar producción comprender el proceso de ganado,25,Gestionar y comprender el proceso de producción de ganado
asesorar productividad ganado,asesorar productividad comprender el proceso de ganado,Asesorar productividad comprender el proceso de ganado,25,Gestionar y comprender el proceso de producción de ganado
gestionar ganado,gestionar comprender el proceso de ganado,Gestionar comprender el proceso de ganado,25,Gestionar y comprender el proceso de producción de ganado
reproducción ganado,reproducción comprender el proceso de ganado,Reproducción comprender el proceso de ganado,25,Gestionar y comprender el proceso de producción de ganado
supervisar ganado,supervisar comprender el proceso de ganado,Supervisar comprender el proceso de ganado,25,Gestionar y comprender el proceso de producción de ganado
criar ganado,criar comprender el proceso de ganado,Criar comprender el proceso de ganado,25,Gestionar y comprender el proceso de producción de ganado
principios selección ganado,principios selección comprender el proceso de ganado,Principios selección comprender el proceso de ganado,25,Gestionar y comprender el proceso de producción de ganado
seleccionar ganado,seleccionar comprender el proceso de ganado,Seleccionar comprender el proceso de ganado,25,Gestionar y comprender el proceso de producción de ganado
producción ganado lechero,producción comprender el proceso de ganado lechero,Producción comprender el proceso de ganado lechero,25,Gestionar y comprender el proceso de producción de ganado
domar ganado animales cautividad,domar comprender el proceso de ganado animales cautividad,Domar comprender el proceso de ganado animales cautividad,25,Gestionar y comprender el proceso de producción de ganado
ganado,comprender el proceso de ganado,Comprender el proceso de ganado,25,Gestionar y comprender el proceso de producción de ganado
preparar plan financiero,preparar plan financiero,Preparar plan financiero,26,Elaborar estrategias financieras
preparar proyecciones financieras,preparar proyecciones financieras,Preparar proyecciones financieras,26,Elaborar estrategias financieras
previsiones financieras,realizar previsiones financieras,Realizar previsiones financieras,26,Elaborar estrategias financieras
gestionar ventas vino,gestionar ventas vino,Gestionar ventas vino,27,Gestionar producción y calidad en industria vinícola
ciencias aplicadas producción vinícola,ciencias aplicadas producción vinícola,Ciencias aplicadas producción vinícola,27,Gestionar producción y calidad en industria vinícola
controlar proceso producción vitivinícola,controlar proceso producción vitivinícola,Controlar proceso producción vitivinícola,27,Gestionar producción y calidad en industria vinícola
gestionar aspectos técnicos producción vitivinícola,gestionar aspectos técnicos producción vitivinícola,Gestionar aspectos técnicos producción vitivinícola,27,Gestionar producción y calidad en industria vinícola
gestionar producción vitivinícola,gestionar producción vitivinícola,Gestionar producción vitivinícola,27,Gestionar producción y calidad en industria vinícola
proceso elaboración productos vinícolas,proceso elaboración productos vinícolas,Proceso elaboración productos vinícolas,27,Gestionar producción y calidad en industria vinícola
mantener sistemas dirección vehículos,mantener sistemas dirección vehículos,Mantener sistemas dirección vehículos,28,Gestionar mantenimiento de sistemas de dirección de vehículos
decorar instrumentos musicales,decorar instrumentos musicales,Decorar instrumentos musicales,29,Crear y embellecer instrumentos musicales
diseñar instrumentos musicales,diseñar instrumentos musicales,Diseñar instrumentos musicales,29,Crear y embellecer instrumentos musicales
gestionar procesos licitación,gestionar procesos licitación,Gestionar procesos licitación,30,Coordinar procesos de licitación y adquisición
llevar cabo procesos adquisición,llevar cabo procesos adquisición,Llevar cabo procesos adquisición,30,Coordinar procesos de licitación y adquisición
asistir clientela final estancia,asistir clientela final estancia,Asistir clientela final estancia,31,Asistir a la clientela
asistir clientes,asistir a clientes,Asistir a clientes,31,Asistir a la clientela
mantener equipos aeródromo,mantener equipos aeródromo,Mantener equipos aeródromo,32,Mantener y preservar equipos de aeropuerto
preservar equipo mantenimiento aeropuerto,preservar equipo mantenimiento aeropuerto,Preservar equipo mantenimiento aeropuerto,32,Mantener y preservar equipos de aeropuerto
utilizar equipos corte,utilizar equipos corte,Utilizar equipos corte,33,Manejar tecnologías y equipos de corte
tecnologías corte,usar tecnologías de corte,Usar tecnologías de corte,33,Manejar tecnologías y equipos de corte
programar operaciones pesca,programar operaciones pesca,Programar operaciones pesca,34,Gestionar operaciones de pesca profesional
gestionar tiempo operaciones pesca,gestionar tiempo operaciones pesca,Gestionar tiempo operaciones pesca,34,Gestionar operaciones de pesca profesional
realizar operaciones medición peces,operaciones medición peces,Realizar operaciones medición peces,34,Gestionar operaciones de pesca profesional
equipos seguridad buques,equipos seguridad buques,Equipos seguridad buques,35,Gestionar equipos de seguridad en buques
instalar equipos seguridad buques,instalar equipos seguridad buques,Instalar equipos seguridad buques,35,Gestionar equipos de seguridad en buques
mantener equipos seguridad emergencia buques,mantener equipos seguridad emergencia buques,Mantener equipos seguridad emergencia buques,35,Gestionar equipos de seguridad en buques
mantener elementos machos fundición,mantener elementos machos fundición,Mantener elementos machos fundición,36,Realizar mantenimiento y manejo de moldes en fundición
verter metal fundido moldes,verter metal fundido moldes,Verter metal fundido moldes,36,Realizar mantenimiento y manejo de moldes en fundición
abrir agujeros colada moldes fundición,abrir agujeros colada moldes fundición,Abrir agujeros colada moldes fundición,36,Realizar mantenimiento y manejo de moldes en fundición
mantener moldes fundición,mantener moldes fundición,Mantener moldes fundición,36,Realizar mantenimiento y manejo de moldes en fundición
mantener piezas moldes fundición,mantener piezas moldes fundición,Mantener piezas moldes fundición,36,Realizar mantenimiento y manejo de moldes en fundición
tipos pintura,identificar tipos de pintura,Identificar tipos de pintura,37,Identificar variedades de pintura e industrial
pintura industrial,identificar tipos de pinturas industriales,Identificar tipos de pinturas industriales,37,Identificar variedades de pintura e industrial
realizar examen fisioterapéutico,examen fisioterapéutico,Realizar examen fisioterapéutico,38,Ejecutar evaluaciones fisioterapéuticas
aplicar técnicas ergoterapia,aplicar técnicas ergoterapia,Aplicar técnicas ergoterapia,39,Aplicar técnicas de terapias físicas y alternativas
etiopatía,aplicar técnicas de etiopatía,Aplicar técnicas de etiopatía,39,Aplicar técnicas de terapias físicas y alternativas
administración segura medicamentos,administración segura gestionar el uso y administración de medicamentos,Administración segura gestionar el uso y administración de medicamentos,40,Administrar y gestionar la seguridad en el uso de medicamentos
gestionar problemas seguridad relativos medicamentos,gestionar problemas seguridad relativos gestionar el uso y administración de medicamentos,Gestionar problemas seguridad relativos gestionar el uso y administración de medicamentos,40,Administrar y gestionar la seguridad en el uso de medicamentos
asesorar medidas seguridad,asesorar medidas seguridad,Asesorar medidas seguridad,41,Asesorar y vigilar en seguridad y eficiencia
asesorar mejoras seguridad,asesorar mejoras seguridad,Asesorar mejoras seguridad,41,Asesorar y vigilar en seguridad y eficiencia
asesorar selección personal seguridad,asesorar selección personal seguridad,Asesorar selección personal seguridad,41,Asesorar y vigilar en seguridad y eficiencia
vigilar medidas seguridad,vigilar medidas seguridad,Vigilar medidas seguridad,41,Asesorar y vigilar en seguridad y eficiencia
asesorar medidas mejorar eficiencia,asesorar medidas mejorar eficiencia,Asesorar medidas mejorar eficiencia,41,Asesorar y vigilar en seguridad y eficiencia
instalar sistemas hidráulicos,instalar sistemas hidráulicos,Instalar sistemas hidráulicos,42,Instalar sistemas y redes de tuberías
instalar redes tuberías,instalar redes tuberías,Instalar redes tuberías,42,Instalar sistemas y redes de tuberías
instalar sistemas tuberías,instalar sistemas tuberías,Instalar sistemas tuberías,42,Instalar sistemas y redes de tuberías
instalar tuberías calefacción ventilación aire acondicionado refrigeración,instalar tuberías calefacción ventilación aire acondicionado refrigeración,Instalar tuberías calefacción ventilación aire acondicionado refrigeración,42,Instalar sistemas y redes de tuberías
colaborar elaboración estrategias marketing,colaborar elaboración estrategias marketing,Colaborar elaboración estrategias marketing,43,Diseñar estrategias de marketing colaborativas
planificar utilización armas escenario,planificar tareas utilización armas escenario,Planificar tareas utilización armas escenario,44,Planificar estrategias de utilización de armas en escenarios específicos
manejar herramientas perforación,manejar herramientas perforación,Manejar herramientas perforación,45,Operar maquinaria de perforación minera
manejar perforadoras,manejar perforadoras,Manejar perforadoras,45,Operar maquinaria de perforación minera
manejar taladros perforadores,manejar taladros perforadores,Manejar taladros perforadores,45,Operar maquinaria de perforación minera
trabajar ingenieros minas perforaciones,trabajar ingenieros minas perforaciones,Trabajar ingenieros minas perforaciones,45,Operar maquinaria de perforación minera
operar máquinas perforadoras jumbo,operar máquinas perforadoras jumbo,Operar máquinas perforadoras jumbo,45,Operar maquinaria de perforación minera
controlar residuos producidos,controlar residuos producidos,Controlar residuos producidos,46,Gestionar desechos industriales
cumplir normas seguridad eléctrica,cumplir entender las normas internacionales relativas a las transacciones comerciales seguridad eléctrica,Cumplir entender las normas internacionales relativas a las transacciones comerciales seguridad eléctrica,47,Comprender y garantizar la seguridad en transacciones comerciales y sistemas de suministro de energía eléctrica
normas seguridad trabajos energía eléctrica,entender las normas internacionales relativas a las transacciones comerciales seguridad trabajos comprender tipos de energía eléctrica,Entender las normas internacionales relativas a las transacciones comerciales seguridad trabajos comprender tipos de energía eléctrica,47,Comprender y garantizar la seguridad en transacciones comerciales y sistemas de suministro de energía eléctrica
garantizar seguridad operaciones sistemas suministro energía eléctrica,garantizar seguridad operaciones sistemas suministro comprender tipos de energía eléctrica,Garantizar seguridad operaciones sistemas suministro comprender tipos de energía eléctrica,47,Comprender y garantizar la seguridad en transacciones comerciales y sistemas de suministro de energía eléctrica
gestionar equipos recolección semilla,gestionar equipos recolección semilla,Gestionar equipos recolección semilla,48,Coordinar procesos de recolección y preparación de semillas
preparar equipos cosecha,preparar equipos cosecha,Preparar equipos cosecha,48,Coordinar procesos de recolección y preparación de semillas
mantener registros mantenimiento vehículos,mantener registros mantenimiento vehículos,Mantener registros mantenimiento vehículos,49,Gestionar registros de operaciones y mantenimientos vehiculares y aeroportuarios
llevar registros operaciones vehículos,llevar registros operaciones vehículos,Llevar registros operaciones vehículos,49,Gestionar registros de operaciones y mantenimientos vehiculares y aeroportuarios
llevar registro operaciones aeroportuarias,llevar registro operaciones aeroportuarias,Llevar registro operaciones aeroportuarias,49,Gestionar registros de operaciones y mantenimientos vehiculares y aeroportuarios
llevar registros intervenciones mantenimiento,llevar registros intervenciones mantenimiento,Llevar registros intervenciones mantenimiento,49,Gestionar registros de operaciones y mantenimientos vehiculares y aeroportuarios
corregir textos,corregir textos,Corregir textos,50,Revisar y corregir textos escritos
diseñar sistema información,diseñar información,Diseñar sistema información,51,Desarrollar sistemas de información
realizar análisis estructuras metalúrgicas,análisis estructuras metalúrgicas,Realizar análisis estructuras metalúrgicas,52,Realizar análisis en metalurgia y termodinámica
realizar análisis térmicos,análisis térmicos,Realizar análisis térmicos,52,Realizar análisis en metalurgia y termodinámica
instalar cubiertas suelos,instalar cubiertas suelos,Instalar cubiertas suelos,53,Instalar revestimientos y cubiertas en construcción
instalar suelos laminados,instalar suelos laminados,Instalar suelos laminados,53,Instalar revestimientos y cubiertas en construcción
instalar tapajuntas techos,instalar tapajuntas techos,Instalar tapajuntas techos,53,Instalar revestimientos y cubiertas en construcción
instalar cubiertas metálicas tejado,instalar cubiertas metálicas tejado,Instalar cubiertas metálicas tejado,53,Instalar revestimientos y cubiertas en construcción
hacer frente incidentes graves,hacer frente incidentes graves,Hacer frente incidentes graves,54,Gestionar incidentes críticos
confeccionar maquetas decorados,confeccionar maquetas decorados,Confeccionar maquetas decorados,55,Crear maquetas y decorados arquitectónicos
diseñar maquetas decorados,diseñar maquetas decorados,Diseñar maquetas decorados,55,Crear maquetas y decorados arquitectónicos
hacer maquetas arquitectónicas,hacer maquetas arquitectónicas,Hacer maquetas arquitectónicas,55,Crear maquetas y decorados arquitectónicos
modelar decorados,modelar decorados,Modelar decorados,55,Crear maquetas y decorados arquitectónicos
bienestar animales,promover bienestar animal,Promover bienestar animal,56,Gestionar y promover el bienestar animal
gestionar bienestar animal,gestionar bienestar animal,Gestionar bienestar animal,56,Gestionar y promover el bienestar animal
aplicar enfoque basado solución problemas servicios sociales,aplicar enfoque basado solución problemas servicios sociales,Aplicar enfoque basado solución problemas servicios sociales,57,Aplicar estrategias de resolución de problemas en servicios sociales
aplicar enfoque holístico servicios sociales,aplicar enfoque holístico servicios sociales,Aplicar enfoque holístico servicios sociales,57,Aplicar estrategias de resolución de problemas en servicios sociales
fabricación herramientas,fabricación herramientas,Realizar fabricación de herramientas,58,Fabricar herramientas profesionales
fabricar herramientas herraje,fabricar herramientas herraje,Fabricar herramientas herraje,58,Fabricar herramientas profesionales
fabricar herramientas personalizadas,fabricar herramientas personalizadas,Fabricar herramientas personalizadas,58,Fabricar herramientas profesionales
hacer pedido productos,hacer pedido productos,Hacer pedido productos,59,Gestionar pedidos de productos y papelería para librerías
hacer pedidos productos papelería librería,hacer pedidos productos papelería librería,Hacer pedidos productos papelería librería,59,Gestionar pedidos de productos y papelería para librerías
tecnología trenzado,utilizar tecnología trenzado,Utilizar tecnología trenzado,60,Aplicar tecnologías de trenzado y teñido
tecnología teñido,usar tecnología de teñido,Usar tecnología de teñido,60,Aplicar tecnologías de trenzado y teñido
analizar calidad árboles talados,analizar calidad árboles talados,Analizar calidad árboles talados,61,Gestionar y analizar procesos forestales
analizar plantaciones árboles,analizar plantaciones árboles,Analizar plantaciones árboles,61,Gestionar y analizar procesos forestales
organizar plantación árboles,organizar plantación árboles,Organizar plantación árboles,61,Gestionar y analizar procesos forestales
implementar sistema recuperación tic,implementar recuperación tic,Implementar sistema recuperación tic,62,Implementar técnicas de recuperación en tecnologías de la información y la comunicación
técnicas recuperación tic,técnicas recuperación tic,Técnicas recuperación tic,62,Implementar técnicas de recuperación en tecnologías de la información y la comunicación
gestionar estrategia transporte empresa,gestionar estrategia transporte empresa,Gestionar estrategia transporte empresa,63,Gestionar y aplicar estrategias de transporte en empresas
aplicar conceptos gestión transporte,aplicar conceptos gestión transporte,Aplicar conceptos gestión transporte,63,Gestionar y aplicar estrategias de transporte en empresas
aplicar estrategias transporte,aplicar estrategias transporte,Aplicar estrategias transporte,63,Gestionar y aplicar estrategias de transporte en empresas
aplicar estrategias rentables manipulación mercancías buques,aplicar estrategias rentables manipulación mercancías buques,Aplicar estrategias rentables manipulación mercancías buques,63,Gestionar y aplicar estrategias de transporte en empresas
gestionar datos cuantitativos,gestionar datos cuantitativos,Gestionar datos cuantitativos,64,Gestionar y analizar datos cuantitativos en el sector turístico
gestionar datos cuantitativos sector turístico,gestionar datos cuantitativos sector turístico,Gestionar datos cuantitativos sector turístico,64,Gestionar y analizar datos cuantitativos en el sector turístico
ingeniería informática,ingeniería aplicar conocimientos de informática,Ingeniería aplicar conocimientos de informática,65,Implementar soluciones de ingeniería informática
realizar análisis marca,análisis marca,Realizar análisis marca,66,Analizar e investigar mercados y competencias empresariales
realizar análisis ventas,análisis ventas,Realizar análisis ventas,66,Analizar e investigar mercados y competencias empresariales
estudios mercado,realizar estudios de mercado,Realizar estudios de mercado,66,Analizar e investigar mercados y competencias empresariales
realizar análisis mercado contratación,análisis mercado contratación,Realizar análisis mercado contratación,66,Analizar e investigar mercados y competencias empresariales
realizar estudios mercado inmobiliario,estudios mercado inmobiliario,Realizar estudios mercado inmobiliario,66,Analizar e investigar mercados y competencias empresariales
realizar investigación empresarial,investigación empresarial,Realizar investigación empresarial,66,Analizar e investigar mercados y competencias empresariales
análisis mercado,realizar análisis de mercado,Realizar análisis de mercado,66,Analizar e investigar mercados y competencias empresariales
llevar cabo análisis competencia línea,llevar cabo análisis competencia línea,Llevar cabo análisis competencia línea,66,Analizar e investigar mercados y competencias empresariales
analizar mercado formación,analizar mercado formación,Analizar mercado formación,66,Analizar e investigar mercados y competencias empresariales
mercados seguros,analizar mercados de seguros,Analizar mercados de seguros,66,Analizar e investigar mercados y competencias empresariales
mercado trabajo,investigar el mercado laboral,Investigar el mercado laboral,66,Analizar e investigar mercados y competencias empresariales
mercado turístico,analizar el mercado turístico,Analizar el mercado turístico,66,Analizar e investigar mercados y competencias empresariales
manipular láminas vidrio,manipular láminas vidrio,Manipular láminas vidrio,67,Manipular y trabajar con vidrio
manipular vidrio,manipular vidrio,Manipular vidrio,67,Manipular y trabajar con vidrio
enjuagar vidrio,enjuagar vidrio,Enjuagar vidrio,67,Manipular y trabajar con vidrio
cortar vidrio,cortar vidrio,Cortar vidrio,67,Manipular y trabajar con vidrio
